who,what
500,HISPANIC
501,Flushing
501,11355
501,NON-MINORITY
501,WBE
502,11237
502,Brooklyn
502,MBE
502,HISPANIC
503,BLACK
503,10553
503,WBE
503,MBE
503,Mt. Vernon
504,10001
504,New York
504,MBE
504,HISPANIC
505,10016
505,NON-MINORITY
505,WBE
505,New York
506,Bergenfield
506,NON-MINORITY
506,WBE
506,7621
507,Teterboro
507,7608
507,HISPANIC
507,WBE
507,MBE
508,NON-MINORITY
508,7005
508,WBE
508,Booton
509,LBE
509,11378
509,Maspeth
510,Newark
510,BLACK
510,7107
510,MBE
511,New York
511,10038
511,BLACK
511,MBE
512,11735
512,Farmingdale
512,WBE
512,ASIAN
512,MBE
513,Poughquag
513,12570
513,ASIAN
513,MBE
514,Princeton
514,BLACK
514,MBE
514,8540
515,New York
515,BLACK
515,MBE
515,10010
516,Kenilworth
516,7033
516,ASIAN
516,MBE
517,10314
517,Staten Island
517,MBE
517,HISPANIC
518,32963
518,HISPANIC
518,Vero Beach
518,WBE
518,MBE
519,Brooklyn
519,11205
519,HISPANIC
519,WBE
519,MBE
520,NON-MINORITY
520,10038
520,WBE
520,New York
521,10021
521,New York
521,ASIAN
521,MBE
522,Brooklyn
522,BLACK
522,MBE
522,11236
523,11206
523,NON-MINORITY
523,WBE
523,Brooklyn
524,NON-MINORITY
524,Mineola
524,WBE
524,11501
525,NON-MINORITY
525,WBE
525,New York
525,10010
526,New York
526,10029
526,BLACK
526,MBE
527,LBE
527,10016
527,New York
528,LBE
528,Maspeth
528,NON-MINORITY
528,11378
528,WBE
529,10528
529,NON-MINORITY
529,WBE
529,Harrison
530,ASIAN
530,Medord
530,WBE
530,11763
530,MBE
531,10001
531,New York
531,BLACK
531,MBE
532,NON-MINORITY
532,WBE
532,Melville
532,11747
533,Bethel
533,6801
533,BLACK
533,MBE
534,Long Island City
534,11101
534,MBE
534,HISPANIC
535,LBE
535,11758
535,Massapequa
536,Newark
536,BLACK
536,7107
536,MBE
537,NON-MINORITY
537,10011
537,WBE
537,New York
538,Huntington
538,11743
538,BLACK
538,MBE
539,Baldwin
539,NON-MINORITY
539,WBE
539,11510
540,11411
540,BLACK
540,MBE
540,Cambria Heights
541,11375
541,NON-MINORITY
541,WBE
541,Forest Hills
542,Rego Park
542,BLACK
542,MBE
542,11374
543,10552
543,BLACK
543,Mount Vernon
543,MBE
544,NON-MINORITY
544,WBE
544,11530
544,Garden City
545,11516
545,NON-MINORITY
545,WBE
545,Cedarhurst
546,NON-MINORITY
546,10119
546,WBE
546,New York
547,BLACK
547,Elmont
547,WBE
547,MBE
547,11003
548,NON-MINORITY
548,WBE
548,New York
548,10010
549,Peekskill
549,10566
549,MBE
549,HISPANIC
550,Peekskill
550,10566
550,MBE
550,HISPANIC
551,NON-MINORITY
551,WBE
551,11201
551,Brooklyn
552,NON-MINORITY
552,Carle Place
552,WBE
552,11514
553,7601
553,Hackensack
553,HISPANIC
553,WBE
553,MBE
554,New York
554,10010
554,MBE
554,HISPANIC
555,Long Island City
555,NON-MINORITY
555,WBE
555,11106
556,11217
556,Brooklyn
556,MBE
556,HISPANIC
557,Huntington
557,11743
557,BLACK
557,MBE
558,Flushing
558,ASIAN
558,MBE
558,11354
559,10005
559,New York
559,MBE
559,HISPANIC
560,11566
560,Merrick
560,WBE
560,ASIAN
560,MBE
561,11566
561,Merrick
561,WBE
561,ASIAN
561,MBE
562,Brooklyn
562,11226
562,BLACK
562,MBE
563,NON-MINORITY
563,WBE
563,11235
563,Brooklyn
564,BLACK
564,10005
564,New York
564,WBE
564,MBE
565,10018
565,New York
565,ASIAN
565,MBE
566,10461
566,Bronx
566,MBE
566,HISPANIC
567,Millstone Township
567,NON-MINORITY
567,WBE
567,8535
568,Yorktown Heights
568,NON-MINORITY
568,10598
568,WBE
569,NON-MINORITY
569,10011
569,WBE
569,New York
570,LBE
570,10465
570,Bronx
571,MBE
571,New York
571,HISPANIC
571,WBE
571,10001
572,Tuckahoe
572,10707
572,MBE
572,HISPANIC
573,LBE
573,10465
573,Bronx
574,NON-MINORITY
574,WBE
574,New York
574,10010
575,Brooklyn
575,11211
575,BLACK
575,MBE
576,Ossining
576,10562
576,HISPANIC
576,WBE
576,MBE
577,White Plains
577,BLACK
577,10601
577,WBE
577,MBE
578,New York
578,10005
578,BLACK
578,MBE
579,BLACK
579,10532
579,Hawthorne
579,WBE
579,MBE
580,NON-MINORITY
580,WBE
580,New York
580,10013
581,South Ozone Park
581,11420
581,MBE
581,HISPANIC
582,Levittown
582,NON-MINORITY
582,WBE
582,11756
583,Bronx
583,10451
583,BLACK
583,MBE
584,Tinton Falls
584,ASIAN
584,MBE
584,7724
585,NON-MINORITY
585,WBE
585,New York
585,10010
586,11563
586,BLACK
586,MBE
586,Lynbrook
587,11237
587,Brooklyn
587,ASIAN
587,MBE
588,10005
588,New York
588,MBE
588,HISPANIC
589,11436
589,Jamaica
589,BLACK
589,MBE
590,New York
590,ASIAN
590,MBE
590,10013
591,Brooklyn
591,BLACK
591,11216
591,MBE
592,11746
592,Dix Hills
592,WBE
592,ASIAN
592,MBE
593,St. Albans
593,BLACK
593,11412
593,MBE
594,Hazlet
594,NON-MINORITY
594,WBE
594,7730
595,White Plains
595,BLACK
595,MBE
595,10601
596,Brooklyn
596,BLACK
596,11225
596,MBE
597,NON-MINORITY
597,WBE
597,New York
597,10035
598,Brooklyn
598,11217
598,BLACK
598,MBE
599,11580
599,BLACK
599,MBE
599,Valley Stream
600,BLACK
600,10701
600,Yonkers
600,WBE
600,MBE
601,BLACK
601,New Rochelle
601,WBE
601,MBE
601,10801
602,Martinsville
602,NON-MINORITY
602,WBE
602,8836
603,10001
603,NON-MINORITY
603,WBE
603,New York
604,NON-MINORITY
604,WBE
604,10025
604,New York
605,NON-MINORITY
605,WBE
605,10017
605,New York
606,Edgewater
606,7020
606,BLACK
606,MBE
607,11229
607,Brooklyn
607,ASIAN
607,MBE
608,East Orange
608,BLACK
608,7018
608,MBE
609,11205
609,Brooklyn
609,ASIAN
609,MBE
610,10510
610,Briarcliff Manor
610,ASIAN
610,MBE
611,Long Island City
611,11101
611,MBE
611,HISPANIC
612,10003
612,NON-MINORITY
612,WBE
612,New York
613,Brooklyn
613,11212
613,HISPANIC
613,WBE
613,MBE
614,NON-MINORITY
614,WBE
614,New York
614,10018
615,10036
615,New York
615,ASIAN
615,MBE
616,Rahway
616,NON-MINORITY
616,WBE
616,7065
617,BLACK
617,10007
617,New York
617,WBE
617,MBE
618,Jamaica
618,BLACK
618,MBE
618,11434
619,10038
619,New York
619,ASIAN
619,MBE
620,BLACK
620,10026
620,New York
620,WBE
620,MBE
621,Long Island City
621,11101
621,MBE
621,HISPANIC
622,10016
622,NON-MINORITY
622,WBE
622,New York
623,10001
623,NON-MINORITY
623,WBE
623,New York
624,Bronx
624,10462
624,BLACK
624,MBE
625,NON-MINORITY
625,10012
625,WBE
625,New York
626,New York
626,10128
626,MBE
626,HISPANIC
627,Long Island City
627,11101
627,MBE
627,HISPANIC
628,Brooklyn
628,BLACK
628,11213
628,MBE
629,NON-MINORITY
629,WBE
629,11241
629,Brooklyn
630,West Babylon
630,11704
630,BLACK
630,MBE
631,10018
631,New York
631,MBE
631,HISPANIC
632,Long Island City
632,NON-MINORITY
632,11101
632,WBE
633,NON-MINORITY
633,WBE
633,10017
633,New York
634,7652
634,NON-MINORITY
634,WBE
634,Paramus
635,WBE
635,7677
635,Woodcliff Lake
635,ASIAN
635,MBE
636,Brooklyn
636,BLACK
636,11225
636,MBE
637,10007
637,NON-MINORITY
637,WBE
637,New York
638,LBE
638,11101
638,BLACK
638,Long Island City
638,MBE
639,HISPANIC
639,Elmont
639,WBE
639,MBE
639,11003
640,N. Bergen
640,7047
640,ASIAN
640,MBE
641,10005
641,New York
641,MBE
641,HISPANIC
642,11704
642,NON-MINORITY
642,WBE
642,West Babylon
643,10016
643,NON-MINORITY
643,WBE
643,New York
644,NON-MINORITY
644,WBE
644,New York
644,10165
645,New York
645,ASIAN
645,MBE
645,10022
646,10001
646,NON-MINORITY
646,WBE
646,New York
647,New York
647,10006
647,BLACK
647,MBE
648,Florham Park
648,BLACK
648,7932
648,WBE
648,MBE
649,Bronx
649,10475
649,BLACK
649,MBE
650,10001
650,New York
650,ASIAN
650,MBE
651,Elmhurst
651,11373
651,HISPANIC
651,WBE
651,MBE
652,10467
652,Bronx
652,ASIAN
652,MBE
653,WBE
653,11201
653,Brooklyn
654,10469
654,Bronx
654,ASIAN
654,MBE
655,10502
655,Ardsley
655,WBE
655,ASIAN
655,MBE
656,BLACK
656,New York
656,10032
656,WBE
656,MBE
657,HISPANIC
657,North Bellmore
657,11710
657,WBE
657,MBE
658,LBE
658,10466
658,Bronx
659,Bronx
659,BLACK
659,MBE
659,10473
660,Brooklyn
660,BLACK
660,11213
660,MBE
661,Brooklyn
661,BLACK
661,MBE
661,11236
662,New York
662,BLACK
662,MBE
662,10037
663,10007
663,New York
663,MBE
663,HISPANIC
664,10467
664,Bronx
664,MBE
664,HISPANIC
665,BLACK
665,11747
665,Melville
665,WBE
665,MBE
666,Flushing
666,ASIAN
666,MBE
666,11354
667,11216
667,Brooklyn
667,ASIAN
667,MBE
668,10030
668,New York
668,MBE
668,HISPANIC
669,New York
669,BLACK
669,10128
669,MBE
670,Brooklyn
670,BLACK
670,WBE
670,11222
670,MBE
671,NON-MINORITY
671,WBE
671,11201
671,Brooklyn
672,New City
672,10956
672,HISPANIC
672,WBE
672,MBE
673,NON-MINORITY
673,WBE
673,11429
673,Queens Village
674,Iselin
674,8830
674,ASIAN
674,MBE
675,Jamaica
675,11433
675,BLACK
675,MBE
676,Queens Village
676,11428
676,ASIAN
676,MBE
677,10002
677,New York
677,WBE
677,ASIAN
677,MBE
678,BLACK
678,10031
678,New York
678,WBE
678,MBE
679,Bronx
679,10460
679,BLACK
679,MBE
680,Roosevelt
680,11575
680,MBE
680,HISPANIC
681,Port Washington
681,ASIAN
681,MBE
681,11050
682,Brooklyn
682,11207
682,MBE
682,HISPANIC
683,10032
683,NON-MINORITY
683,WBE
683,New York
684,Bronx
684,10458
684,MBE
684,HISPANIC
685,Bronx
685,10452
685,BLACK
685,MBE
686,New York
686,ASIAN
686,MBE
686,10010
687,10550
687,BLACK
687,Mount Vernon
687,MBE
688,10471
688,NON-MINORITY
688,WBE
688,Riverdale
689,Richmond Hills
689,ASIAN
689,MBE
689,11418
690,Brooklyn
690,BLACK
690,11203
690,MBE
691,7601
691,BLACK
691,Hackensack
691,MBE
692,11361
692,ASIAN
692,MBE
692,Bayside
693,Fairview
693,7022
693,MBE
693,HISPANIC
694,Flushing
694,ASIAN
694,MBE
694,11354
695,10001
695,New York
695,MBE
695,HISPANIC
696,NON-MINORITY
696,11731
696,WBE
696,East Northport
697,11201
697,Brooklyn
697,ASIAN
697,MBE
698,Brooklyn
698,BLACK
698,MBE
698,11236
699,Brooklyn
699,BLACK
699,11238
699,MBE
700,NON-MINORITY
700,WBE
700,10017
700,New York
701,NON-MINORITY
701,WBE
701,11201
701,Brooklyn
702,Long Island City
702,11101
702,BLACK
702,MBE
703,NON-MINORITY
703,WBE
703,11215
703,Brooklyn
704,New York
704,10027
704,BLACK
704,MBE
705,LBE
705,Brooklyn
705,11225
705,BLACK
705,WBE
705,MBE
706,NON-MINORITY
706,11729
706,WBE
706,Deer Park
707,BLACK
707,10026
707,New York
707,WBE
707,MBE
708,Bohemia
708,BLACK
708,MBE
708,11716
709,LBE
709,Floral Park
709,11004
709,ASIAN
709,MBE
710,Brooklyn
710,BLACK
710,11210
710,MBE
711,Bronx
711,10454
711,MBE
711,HISPANIC
712,10301
712,ASIAN
712,MBE
712,Staten Island
713,Bronx
713,10475
713,BLACK
713,MBE
714,Bronx
714,10475
714,BLACK
714,MBE
715,Long Island City
715,11101
715,BLACK
715,MBE
716,10024
716,NON-MINORITY
716,WBE
716,New York
717,Brooklyn
717,11223
717,BLACK
717,WBE
717,MBE
718,Mountainside
718,ASIAN
718,MBE
718,7092
719,Ossining
719,NON-MINORITY
719,WBE
719,10562
720,Westport
720,NON-MINORITY
720,WBE
720,6880
721,11101
721,Long Island City
721,HISPANIC
721,WBE
721,MBE
722,NON-MINORITY
722,WBE
722,New York
722,10010
723,11411
723,BLACK
723,MBE
723,Cambria Heights
724,Somerset
724,BLACK
724,MBE
724,8873
725,Millburn
725,NON-MINORITY
725,WBE
725,7041
726,Baldwin
726,11510
726,BLACK
726,MBE
727,Bronx
727,BLACK
727,10466
727,WBE
727,MBE
728,NON-MINORITY
728,WBE
728,New York
728,10010
729,Rosedale
729,11422
729,BLACK
729,MBE
730,10001
730,New York
730,ASIAN
730,MBE
731,11378
731,Maspeth
731,MBE
731,HISPANIC
732,10016
732,NON-MINORITY
732,WBE
732,New York
733,10280
733,New York
733,HISPANIC
733,WBE
733,MBE
734,11357
734,NON-MINORITY
734,WBE
734,Whitestone
735,10598
735,BLACK
735,Yorktown Heights
735,WBE
735,MBE
736,New York
736,BLACK
736,MBE
736,10022
737,11368
737,Corona
737,ASIAN
737,MBE
738,NON-MINORITY
738,Holbrook
738,WBE
738,11741
739,10003
739,NON-MINORITY
739,WBE
739,New York
740,Brooklyn
740,BLACK
740,11205
740,WBE
740,MBE
741,10005
741,NON-MINORITY
741,WBE
741,New York
742,NON-MINORITY
742,WBE
742,11201
742,Brooklyn
743,Brooklyn
743,BLACK
743,11233
743,WBE
743,MBE
744,Old Bethpage
744,NON-MINORITY
744,11804
744,WBE
745,10001
745,N/A
745,WBE
745,New York
746,10007
746,New York
746,ASIAN
746,MBE
747,11105
747,Astoria
747,HISPANIC
747,WBE
747,MBE
748,10037
748,New York
748,MBE
748,HISPANIC
749,NON-MINORITY
749,11731
749,WBE
749,East Northport
750,LBE
750,10025
750,New York
750,ASIAN
750,MBE
751,New York
751,10018
751,BLACK
751,MBE
752,11435
752,NON-MINORITY
752,WBE
752,Briarwood
753,10023
753,New York
753,ASIAN
753,MBE
754,10121
754,New York
754,ASIAN
754,MBE
755,BLACK
755,MBE
755,Freeport
755,WBE
755,11520
756,Bronx
756,10465
756,NON-MINORITY
756,WBE
757,Rosedale
757,11422
757,BLACK
757,MBE
758,7624
758,NON-MINORITY
758,WBE
758,Closter
759,10004
759,NON-MINORITY
759,WBE
759,New York
760,Bronx
760,10466
760,BLACK
760,MBE
761,Brooklyn
761,11207
761,MBE
761,HISPANIC
762,LBE
762,10308
762,Staten Island
763,7657
763,Ridgefield
763,ASIAN
763,MBE
764,Peekskill
764,10566
764,ASIAN
764,MBE
765,MBE
765,Morristown
765,HISPANIC
765,WBE
765,7960
766,11042
766,NON-MINORITY
766,WBE
766,Lake Success
767,10461
767,Bronx
767,ASIAN
767,MBE
768,Bronx
768,BLACK
768,MBE
768,10461
769,10001
769,NON-MINORITY
769,WBE
769,New York
770,NON-MINORITY
770,11211
770,WBE
770,Brooklyn
771,West Hempstead
771,11552
771,HISPANIC
771,WBE
771,MBE
772,10001
772,NON-MINORITY
772,WBE
772,New York
773,Brooklyn
773,BLACK
773,11203
773,MBE
774,10012
774,New York
774,WBE
774,ASIAN
774,MBE
775,10018
775,New York
775,WBE
775,ASIAN
775,MBE
776,NON-MINORITY
776,WBE
776,11201
776,Brooklyn
777,11217
777,NON-MINORITY
777,WBE
777,Brooklyn
778,7086
778,Weehawken
778,MBE
778,HISPANIC
779,6825
779,NON-MINORITY
779,WBE
779,Fairfield
780,10583
780,NON-MINORITY
780,Scarsdale
780,WBE
780,MBE
781,BLACK
781,10701
781,Yonkers
781,WBE
781,MBE
782,HISPANIC
782,Rego Park
782,11374
782,WBE
782,MBE
783,Brooklyn
783,BLACK
783,11206
783,WBE
783,MBE
784,Long Island City
784,NON-MINORITY
784,11101
784,WBE
785,7606
785,NON-MINORITY
785,WBE
785,South Hackensack
786,Long Island City
786,11102
786,ASIAN
786,MBE
787,Jackson Heights
787,11372
787,ASIAN
787,MBE
788,10001
788,NON-MINORITY
788,WBE
788,New York
789,BLACK
789,Arverne
789,11692
789,WBE
789,MBE
790,NON-MINORITY
790,WBE
790,10021
790,New York
791,11385
791,Ridgewood
791,MBE
791,HISPANIC
792,Ozone Park
792,11417
792,ASIAN
792,MBE
793,NON-MINORITY
793,11767
793,WBE
793,Nesconset
794,NON-MINORITY
794,WBE
794,Roslyn
794,11576
795,Long Island City
795,11101
795,BLACK
795,MBE
796,10001
796,New York
796,MBE
796,HISPANIC
797,10018
797,New York
797,MBE
797,HISPANIC
798,Westbury
798,11590
798,BLACK
798,MBE
799,11413
799,BLACK
799,Springfield Gardens
799,MBE
800,Far Rockaway
800,BLACK
800,MBE
800,11691
801,10023
801,BLACK
801,New York
801,WBE
801,MBE
802,10024
802,NON-MINORITY
802,WBE
802,New York
803,New York
803,10036
803,MBE
803,HISPANIC
804,Brooklyn
804,11216
804,MBE
804,HISPANIC
805,Albany
805,12205
805,WBE
805,ASIAN
805,MBE
806,10019
806,New York
806,MBE
806,HISPANIC
807,10314
807,NON-MINORITY
807,WBE
807,Staten Island
808,Brooklyn
808,BLACK
808,11234
808,WBE
808,MBE
809,11429
809,BLACK
809,MBE
809,WBE
809,Queens Village
810,Brooklyn
810,11221
810,BLACK
810,MBE
811,10460
811,Bronx
811,MBE
811,HISPANIC
812,Brooklyn
812,BLACK
812,11205
812,WBE
812,MBE
813,Rego Park
813,ASIAN
813,MBE
813,11374
814,Bronx
814,10469
814,BLACK
814,MBE
815,Hempstead
815,11550
815,MBE
815,HISPANIC
816,11368
816,Corona
816,BLACK
816,MBE
817,10467
817,Bronx
817,MBE
817,HISPANIC
818,LBE
818,11206
818,Brooklyn
819,LBE
819,Brooklyn
819,11210
819,MBE
820,NON-MINORITY
820,WBE
820,11234
820,Brooklyn
821,Jackson Heights
821,11372
821,MBE
821,HISPANIC
822,LBE
822,10314
822,Staten Island
823,11222
823,Brooklyn
823,ASIAN
823,MBE
824,10032
824,New York
824,MBE
824,HISPANIC
825,Brooklyn
825,BLACK
825,11234
825,WBE
825,MBE
826,New York
826,10027
826,BLACK
826,MBE
827,11563
827,ASIAN
827,MBE
827,Lynbrook
828,LBE
828,Bronx
828,BLACK
828,10469
828,MBE
829,Bronx
829,10454
829,MBE
829,HISPANIC
830,11356
830,NON-MINORITY
830,WBE
830,College Point
831,8876
831,Branchberg
831,MBE
831,HISPANIC
832,Brooklyn
832,11205
832,BLACK
832,MBE
833,Roosevelt
833,11575
833,BLACK
833,MBE
834,7470
834,HISPANIC
834,Wayne
834,WBE
834,MBE
835,10710
835,Yonkers
835,BLACK
835,MBE
836,Mountainside
836,ASIAN
836,MBE
836,7092
837,Hempstead
837,11550
837,ASIAN
837,MBE
838,NON-MINORITY
838,WBE
838,11210
838,Brooklyn
839,Brooklyn
839,BLACK
839,11201
839,MBE
840,Jamaica
840,BLACK
840,MBE
840,11434
841,Richmond Hill
841,11418
841,MBE
841,HISPANIC
842,10031
842,New York
842,MBE
842,HISPANIC
843,10028
843,NON-MINORITY
843,WBE
843,New York
844,11218
844,NON-MINORITY
844,WBE
844,Brooklyn
845,NON-MINORITY
845,11730
845,WBE
845,East Islip
846,11751
846,BLACK
846,MBE
846,Islip
847,NON-MINORITY
847,10038
847,WBE
847,New York
848,NON-MINORITY
848,11767
848,WBE
848,Nesconset
849,Flushing
849,ASIAN
849,MBE
849,11354
850,10001
850,NON-MINORITY
850,WBE
850,New York
851,11102
851,NON-MINORITY
851,Astoria
851,WBE
852,New York
852,10010
852,MBE
852,HISPANIC
853,BLACK
853,10031
853,New York
853,WBE
853,MBE
854,NON-MINORITY
854,WBE
854,New York
854,10010
855,NON-MINORITY
855,WBE
855,10021
855,New York
856,11791
856,Syosset
856,ASIAN
856,MBE
857,10040
857,New York
857,MBE
857,HISPANIC
858,NON-MINORITY
858,WBE
858,New York
858,10018
859,LBE
859,Brooklyn
859,BLACK
859,11205
859,MBE
860,New York
860,BLACK
860,MBE
860,10031
861,East Stroudsburg
861,18301
861,BLACK
861,MBE
862,7728
862,NON-MINORITY
862,WBE
862,Freehold
863,11520
863,Freeport
863,BLACK
863,MBE
864,Flushing
864,NON-MINORITY
864,WBE
864,11354
865,NON-MINORITY
865,11731
865,WBE
865,East Northport
866,New York
866,WBE
866,ASIAN
866,MBE
866,10013
867,10303
867,BLACK
867,MBE
867,Staten Island
868,10022
868,New York
868,MBE
868,HISPANIC
869,Brooklyn
869,11201
869,WBE
869,ASIAN
869,MBE
870,NON-MINORITY
870,WBE
870,New York
870,10022
871,Levittown
871,11756
871,MBE
871,HISPANIC
872,Bronx
872,NON-MINORITY
872,WBE
872,10461
873,10566
873,BLACK
873,Peeksville
873,WBE
873,MBE
874,Brooklyn
874,HISPANIC
874,11211
874,WBE
874,MBE
875,HISPANIC
875,Staten Island
875,10301
875,WBE
875,MBE
876,10701
876,Yonkers
876,BLACK
876,MBE
877,Richmond Hill
877,11418
877,MBE
877,HISPANIC
878,7727
878,Farmingdale
878,MBE
878,HISPANIC
879,Brooklyn
879,11208
879,BLACK
879,MBE
880,New York
880,ASIAN
880,MBE
880,10009
881,11226
881,Brooklyn
881,ASIAN
881,MBE
882,11356
882,College Point
882,MBE
882,HISPANIC
883,7307
883,ASIAN
883,MBE
883,Jersey City
884,10001
884,NON-MINORITY
884,WBE
884,New York
885,New York
885,HISPANIC
885,WBE
885,MBE
885,10033
886,11372
886,HISPANIC
886,Jackson Heights
886,WBE
886,MBE
887,7002
887,NON-MINORITY
887,WBE
887,Bayonne
888,7052
888,West Orange
888,ASIAN
888,MBE
889,10038
889,New York
889,ASIAN
889,MBE
890,11105
890,Astoria
890,MBE
890,HISPANIC
891,Uniondale
891,NON-MINORITY
891,11553
891,WBE
892,New York
892,ASIAN
892,MBE
892,10122
893,New York
893,10165
893,BLACK
893,MBE
894,11746
894,NON-MINORITY
894,Dix Hills
894,WBE
895,10001
895,New York
895,ASIAN
895,MBE
896,10001
896,New York
896,ASIAN
896,MBE
897,10028
897,NON-MINORITY
897,WBE
897,New York
898,11501
898,Mineola
898,BLACK
898,MBE
899,11220
899,Brooklyn
899,ASIAN
899,MBE
900,11422
900,BLACK
900,Rosedale
900,WBE
900,MBE
901,10006
901,New York
901,ASIAN
901,MBE
902,New York
902,10003
902,BLACK
902,MBE
903,North Babylon
903,NON-MINORITY
903,11703
903,WBE
904,LBE
904,Bronx
904,BLACK
904,10466
904,MBE
905,Scotch Plains
905,7076
905,BLACK
905,WBE
905,MBE
906,BLACK
906,Maspeth
906,MBE
906,11378
907,NON-MINORITY
907,Albany
907,WBE
907,12205
908,Jamaica
908,11433
908,BLACK
908,MBE
909,7735
909,ASIAN
909,MBE
909,Cliffwood Beach
910,10016
910,NON-MINORITY
910,WBE
910,New York
911,11501
911,Mineola
911,ASIAN
911,MBE
912,Brooklyn
912,11211
912,WBE
912,ASIAN
912,MBE
913,NON-MINORITY
913,WBE
913,New York
913,10018
914,NON-MINORITY
914,WBE
914,11234
914,Brooklyn
915,10016
915,New York
915,MBE
915,HISPANIC
916,Brooklyn
916,BLACK
916,11216
916,WBE
916,MBE
917,10451
917,Bronx
917,MBE
917,HISPANIC
918,BLACK
918,Laurelton
918,11413
918,WBE
918,MBE
919,10001
919,NON-MINORITY
919,WBE
919,New York
920,Jackson Heights
920,11372
920,MBE
920,HISPANIC
921,7054
921,NON-MINORITY
921,WBE
921,Parsippany
922,NON-MINORITY
922,11211
922,WBE
922,Brooklyn
923,NON-MINORITY
923,WBE
923,11210
923,Brooklyn
924,11357
924,Whitestone
924,WBE
924,ASIAN
924,MBE
925,11211
925,Brooklyn
925,ASIAN
925,MBE
926,MBE
926,Roslyn
926,HISPANIC
926,WBE
926,11576
927,11435
927,NON-MINORITY
927,WBE
927,Jamaica
928,Brooklyn
928,11212
928,BLACK
928,MBE
929,Westbury
929,11590
929,BLACK
929,MBE
930,Brooklyn
930,BLACK
930,11212
930,WBE
930,MBE
931,LBE
931,10451
931,Bronx
931,BLACK
931,MBE
932,BLACK
932,10018
932,New York
932,WBE
932,MBE
933,10314
933,NON-MINORITY
933,WBE
933,Staten Island
934,Brooklyn
934,11217
934,BLACK
934,MBE
935,Hollis
935,11423
935,ASIAN
935,MBE
936,Brooklyn
936,BLACK
936,11210
936,MBE
937,Bronx
937,BLACK
937,MBE
937,10457
938,Bronx
938,10467
938,HISPANIC
938,WBE
938,MBE
939,New York
939,10118
939,BLACK
939,MBE
940,BLACK
940,New York
940,10036
940,WBE
940,MBE
941,Queens
941,11411
941,BLACK
941,MBE
942,NON-MINORITY
942,WBE
942,Orangeburg
942,10962
943,NON-MINORITY
943,WBE
943,11231
943,Brooklyn
944,10703
944,Yonkers
944,BLACK
944,MBE
945,10016
945,New York
945,MBE
945,HISPANIC
946,10002
946,New York
946,ASIAN
946,MBE
947,10701
947,Yonkers
947,BLACK
947,MBE
948,Long Island City
948,11101
948,ASIAN
948,MBE
949,11426
949,Bellerose
949,BLACK
949,MBE
950,10550
950,BLACK
950,Mount Vernon
950,MBE
951,10128
951,New York
951,HISPANIC
951,WBE
951,MBE
952,Brooklyn
952,11205
952,BLACK
952,MBE
953,LBE
953,Brooklyn
953,11218
954,11206
954,Brooklyn
954,ASIAN
954,MBE
955,NON-MINORITY
955,WBE
955,New York
955,10013
956,NON-MINORITY
956,WBE
956,10014
956,New York
957,NON-MINORITY
957,WBE
957,10128
957,New York
958,Brooklyn
958,BLACK
958,11216
958,WBE
958,MBE
959,New York
959,10018
959,BLACK
959,MBE
960,New York
960,10030
960,BLACK
960,MBE
961,10007
961,NON-MINORITY
961,WBE
961,New York
962,10001
962,NON-MINORITY
962,WBE
962,New York
963,10001
963,NON-MINORITY
963,WBE
963,New York
964,11725
964,NON-MINORITY
964,Commack
964,WBE
965,NON-MINORITY
965,WBE
965,11238
965,Brooklyn
966,LBE
966,Brooklyn
966,11203
967,White Plains
967,10604
967,MBE
967,HISPANIC
968,Brooklyn
968,ASIAN
968,MBE
968,11210
969,8837
969,Edison
969,ASIAN
969,MBE
970,EBE
970,N/A
970,Staten Island
970,10301
970,WBE
970,MBE
971,Brooklyn
971,BLACK
971,11207
971,WBE
971,MBE
972,Queens Village
972,BLACK
972,11429
972,MBE
973,10472
973,Bronx
973,ASIAN
973,MBE
974,Hollis
974,11423
974,BLACK
974,MBE
975,New York
975,10003
975,BLACK
975,MBE
976,11357
976,BLACK
976,Whitestone
976,MBE
977,Brooklyn
977,11205
977,BLACK
977,MBE
978,Brooklyn
978,11225
978,BLACK
978,WBE
978,MBE
979,10035
979,New York
979,WBE
979,ASIAN
979,MBE
980,Queens Village
980,11427
980,ASIAN
980,MBE
981,11782
981,NON-MINORITY
981,WBE
981,Sayville
982,Great Neck
982,11021
982,WBE
982,ASIAN
982,MBE
983,11733
983,NON-MINORITY
983,WBE
983,Setauket
984,10550
984,BLACK
984,Mount Vernon
984,WBE
984,MBE
985,10005
985,New York
985,ASIAN
985,MBE
986,11369
986,E. Elmhurst
986,BLACK
986,MBE
987,11040
987,NON-MINORITY
987,WBE
987,New Hyde Park
988,8861
988,Perth Amboy
988,MBE
988,HISPANIC
989,Brooklyn
989,BLACK
989,11201
989,MBE
990,Hollis
990,11423
990,BLACK
990,MBE
991,10001
991,New York
991,BLACK
991,MBE
992,BLACK
992,New York
992,10025
992,WBE
992,MBE
993,BLACK
993,10030
993,New York
993,WBE
993,MBE
994,10003
994,NON-MINORITY
994,WBE
994,New York
995,Brooklyn
995,BLACK
995,11225
995,MBE
996,Brooklyn
996,BLACK
996,11225
996,MBE
997,Wood Ridge
997,7075
997,ASIAN
997,MBE
998,11238
998,Brooklyn
998,ASIAN
998,MBE
999,Bronx
999,BLACK
999,10454
999,MBE
1000,NON-MINORITY
1000,WBE
1000,11735
1000,Farmingdale
1001,LBE
1001,11356
