who,what
114,New York
115,10128
115,New York
115,HISPANIC
115,WBE
115,MBE
116,11217
116,NON-MINORITY
116,WBE
116,Brooklyn
117,Brooklyn
117,BLACK
117,11225
117,MBE
118,Brooklyn
118,BLACK
118,11225
118,MBE
119,WBE
119,HISPANIC
119,Bloomfield
119,7003
119,MBE
120,10463
120,Bronx
120,MBE
120,HISPANIC
121,NON-MINORITY
121,Highland Park
121,WBE
121,8904
122,Astoria
122,11102
122,HISPANIC
122,WBE
122,MBE
123,Brooklyn
123,11221
123,BLACK
123,MBE
124,NON-MINORITY
124,10590
124,WBE
124,South Salem
125,Bronx
125,BLACK
125,MBE
125,10467
126,LBE
126,10940
126,HISPANIC
126,Middletown
126,MBE
127,Brooklyn
127,11212
127,BLACK
127,MBE
128,7060
128,N Plainfield
128,ASIAN
128,MBE
129,7069
129,BLACK
129,Watchung
129,MBE
130,Flushing
130,11355
130,ASIAN
130,MBE
131,Bronx
131,10474
131,NON-MINORITY
131,WBE
132,11375
132,Forest Hills
132,HISPANIC
132,WBE
132,MBE
133,Bronx
133,BLACK
133,MBE
133,10467
134,NON-MINORITY
134,WBE
134,10021
134,New York
135,11357
135,NON-MINORITY
135,WBE
135,Whitestone
136,7060
136,BLACK
136,Plainfield
136,MBE
137,NON-MINORITY
137,WBE
137,New York
137,10013
138,LBE
138,Brooklyn
138,11214
138,ASIAN
138,MBE
139,11206
139,NON-MINORITY
139,WBE
139,Brooklyn
140,LBE
140,11434
140,Jamaica
140,HISPANIC
140,MBE
141,LIC
141,NON-MINORITY
141,11101
141,WBE
142,7010
142,HISPANIC
142,Cliffside Park
142,WBE
142,MBE
143,White Plains
143,NON-MINORITY
143,10604
143,WBE
144,Flushing
144,ASIAN
144,MBE
144,11354
145,10016
145,New York
145,ASIAN
145,MBE
146,10314
146,NON-MINORITY
146,WBE
146,Staten Island
147,Lindehurst
147,11757
147,ASIAN
147,MBE
148,Jericho
148,ASIAN
148,MBE
148,11753
149,NON-MINORITY
149,Amityville
149,WBE
149,11701
150,11378
150,Maspeth
150,MBE
150,HISPANIC
151,Brooklyn
151,BLACK
151,11234
151,WBE
151,MBE
152,New York
152,10030
152,BLACK
152,MBE
153,11746
153,Huntington Station
153,BLACK
153,WBE
153,MBE
154,NATIVE AMERICAN
154,Lewiston
154,14092
154,WBE
154,MBE
155,10462
155,Bronx
155,MBE
155,HISPANIC
156,Far Rockaway
156,BLACK
156,MBE
156,11691
157,St. Albans
157,BLACK
157,11412
157,MBE
158,NON-MINORITY
158,WBE
158,Brooklyn
158,11230
159,11021
159,Great Neck
159,MBE
159,HISPANIC
160,11507
160,Albertson
160,ASIAN
160,MBE
161,BLACK
161,10118
161,New York
161,WBE
161,MBE
162,NON-MINORITY
162,WBE
162,10017
162,New York
163,St. Albans
163,BLACK
163,11412
163,MBE
164,10302
164,Staten Island
164,WBE
164,ASIAN
164,MBE
165,NON-MINORITY
165,WBE
165,New York
165,10010
166,NON-MINORITY
166,WBE
166,Flemington
166,8822
167,Brooklyn
167,BLACK
167,11203
167,MBE
168,7620
168,Alpine
168,WBE
168,ASIAN
168,MBE
169,10018
169,New York
169,WBE
169,ASIAN
169,MBE
170,Hempstead
170,11550
170,MBE
170,HISPANIC
171,10552
171,Mount Vernon
171,MBE
171,HISPANIC
172,Queens Village
172,11427
172,BLACK
172,MBE
173,11206
173,NON-MINORITY
173,WBE
173,Brooklyn
174,11373
174,Elmhurst
174,MBE
174,HISPANIC
175,Brooklyn
175,ASIAN
175,MBE
175,11232
176,Brooklyn
176,11231
176,MBE
176,HISPANIC
177,10306
177,NON-MINORITY
177,WBE
177,Staten Island
178,NON-MINORITY
178,WBE
178,New York
178,10013
179,NON-MINORITY
179,WBE
179,10021
179,New York
180,NON-MINORITY
180,WBE
180,New York
180,10018
181,Brooklyn
181,BLACK
181,11205
181,WBE
181,MBE
182,Brooklyn
182,BLACK
182,11234
182,WBE
182,MBE
183,South Plainfield
183,7080
183,ASIAN
183,MBE
184,Huntington
184,NON-MINORITY
184,11743
184,WBE
185,LBE
185,11377
185,Woodside
185,ASIAN
185,MBE
186,10001
186,New York
186,BLACK
186,MBE
187,Brooklyn
187,11221
187,BLACK
187,MBE
188,NON-MINORITY
188,10176
188,WBE
188,New York
189,7601
189,BLACK
189,Hackensack
189,MBE
190,10462
190,Bronx
190,ASIAN
190,MBE
191,10703
191,Yonkers
191,BLACK
191,MBE
192,Bronx
192,BLACK
192,MBE
192,10467
193,11040
193,New Hyde Park
193,MBE
193,HISPANIC
194,East Elmhurst
194,11370
194,ASIAN
194,MBE
195,New York
195,10030
195,BLACK
195,MBE
196,Long Island City
196,11101
196,MBE
196,HISPANIC
197,NON-MINORITY
197,WBE
197,10302
197,Staten Island
198,10001
198,NON-MINORITY
198,WBE
198,New York
199,MBE
199,New York
199,HISPANIC
199,WBE
199,10001
200,11233
200,Brooklyn
200,MBE
200,HISPANIC
201,10165
201,New York
201,ASIAN
201,MBE
202,Dayton
202,8810
202,ASIAN
202,MBE
203,11413
203,Springfield Gardens
203,ASIAN
203,MBE
204,10018
204,New York
204,MBE
204,HISPANIC
205,8844
205,ASIAN
205,MBE
205,Hillsborough
206,Brooklyn
206,11226
206,BLACK
206,MBE
207,Edison
207,8837
207,HISPANIC
207,WBE
207,MBE
208,10033
208,New York
208,MBE
208,HISPANIC
209,Rosedale
209,11422
209,BLACK
209,MBE
210,LBE
210,11204
210,Brooklyn
210,ASIAN
210,MBE
211,Long Island City
211,11101
211,ASIAN
211,MBE
212,10029
212,BLACK
212,New York
212,WBE
212,MBE
213,BLACK
213,Cherry Hill
213,8003
213,WBE
213,MBE
214,Long Island City
214,NON-MINORITY
214,11101
214,WBE
215,LBE
215,11435
215,Jamaica
216,NON-MINORITY
216,WBE
216,11201
216,Brooklyn
217,Woodbridge
217,7095
217,ASIAN
217,MBE
218,11205
218,NON-MINORITY
218,WBE
218,Brooklyn
219,Bronx
219,BLACK
219,10466
219,WBE
219,MBE
220,Long Island City
220,11106
220,MBE
220,HISPANIC
221,10011
221,New York
221,MBE
221,HISPANIC
222,LBE
222,Brooklyn
222,11236
222,ASIAN
222,MBE
223,Jamaica
223,BLACK
223,11432
223,MBE
224,Far Rockaway
224,BLACK
224,MBE
224,11691
225,New York
225,ASIAN
225,MBE
225,10013
226,10011
226,New York
226,ASIAN
226,MBE
227,Jamaica
227,BLACK
227,MBE
227,11434
228,New York
228,10010
228,MBE
228,HISPANIC
229,Union
229,HISPANIC
229,7083
229,WBE
229,MBE
230,Brooklyn
230,11208
230,BLACK
230,MBE
231,Bronx
231,BLACK
231,10454
231,MBE
232,Morris Plains
232,7950
232,WBE
232,ASIAN
232,MBE
233,Jackson Heights
233,11372
233,MBE
233,HISPANIC
234,10011
234,New York
234,WBE
234,ASIAN
234,MBE
235,10016
235,New York
235,ASIAN
235,MBE
236,South Nyack
236,BLACK
236,10960
236,MBE
237,NON-MINORITY
237,WBE
237,7511
237,Totowa
238,7090
238,NON-MINORITY
238,WBE
238,Westfield
239,NON-MINORITY
239,WBE
239,New York
239,10018
240,10003
240,NON-MINORITY
240,WBE
240,New York
241,11211
241,Brooklyn
241,ASIAN
241,MBE
242,10469
242,Bronx
242,MBE
242,HISPANIC
243,Bronx
243,BLACK
243,MBE
243,10470
244,11430
244,NON-MINORITY
244,WBE
244,Jamaica
245,Summit
245,NON-MINORITY
245,7901
245,WBE
246,Bronx
246,10460
246,HISPANIC
246,WBE
246,MBE
247,10022
247,New York
247,WBE
247,ASIAN
247,MBE
248,Malverne
248,BLACK
248,MBE
248,11565
249,LBE
249,10012
249,New York
249,ASIAN
249,MBE
250,11435
250,BLACK
250,MBE
250,Briarwood
251,11509
251,Atlantic Beach
251,MBE
251,HISPANIC
252,11205
252,Brooklyn
252,ASIAN
252,MBE
253,Bronx
253,BLACK
253,10454
253,MBE
254,NON-MINORITY
254,WBE
254,10941
254,Middletown
255,New York
255,10030
255,BLACK
255,MBE
256,BLACK
256,10024
256,New York
256,WBE
256,MBE
257,11226
257,Brooklyn
257,ASIAN
257,MBE
258,LBE
258,11746
258,Huntington
259,Brooklyn
259,BLACK
259,MBE
259,11236
260,10038
260,New York
260,ASIAN
260,MBE
261,NON-MINORITY
261,7020
261,WBE
261,Edgewater
262,NON-MINORITY
262,WBE
262,New York
262,10010
263,10280
263,New York
263,BLACK
263,MBE
264,Kew Gardens
264,11415
264,BLACK
264,MBE
265,Bronx
265,BLACK
265,MBE
265,10457
266,Cranbury
266,8512
266,ASIAN
266,MBE
267,10011
267,New York
267,MBE
267,HISPANIC
268,Jamaica
268,11435
268,BLACK
268,MBE
269,Huntington
269,NON-MINORITY
269,11743
269,WBE
270,Ozone Park
270,11417
270,ASIAN
270,MBE
271,NON-MINORITY
271,WBE
271,10025
271,New York
272,Brooklyn
272,BLACK
272,11233
272,WBE
272,MBE
273,11218
273,NON-MINORITY
273,WBE
273,Brooklyn
274,LBE
274,Brooklyn
274,BLACK
274,11210
274,MBE
275,10532
275,NON-MINORITY
275,WBE
275,Harrison
276,11746
276,NON-MINORITY
276,Dix Hills
276,WBE
277,NON-MINORITY
277,10012
277,WBE
277,New York
278,10019
278,New York
278,MBE
278,HISPANIC
279,Bohemia
279,ASIAN
279,MBE
279,11716
280,Brooklyn
280,ASIAN
280,MBE
280,11232
281,Island Park
281,NON-MINORITY
281,WBE
281,11558
282,BLACK
282,11001
282,Bellerose Village
282,WBE
282,MBE
283,BLACK
283,11727
283,Coram
283,WBE
283,MBE
284,Tarrytown
284,NON-MINORITY
284,10591
284,WBE
285,Brooklyn
285,BLACK
285,11224
285,MBE
286,NON-MINORITY
286,7650
286,WBE
286,Palisades Park
287,New York
287,BLACK
287,10036
287,MBE
288,New York
288,10019
288,BLACK
288,MBE
289,10018
289,New York
289,MBE
289,HISPANIC
290,NON-MINORITY
290,7601
290,WBE
290,Hackensack
291,10032
291,NON-MINORITY
291,WBE
291,New York
292,11757
292,NON-MINORITY
292,WBE
292,Lindenhurst
293,10012
293,New York
293,MBE
293,HISPANIC
294,Westport
294,NON-MINORITY
294,WBE
294,6880
295,10004
295,NON-MINORITY
295,WBE
295,New York
296,Nyack
296,NON-MINORITY
296,WBE
296,10960
297,10007
297,NON-MINORITY
297,WBE
297,New York
298,BLACK
298,10031
298,New York
298,WBE
298,MBE
299,7087
299,Union City
299,MBE
299,HISPANIC
300,7601
300,Hackensack
300,MBE
300,HISPANIC
301,Flushing
301,ASIAN
301,MBE
301,11354
302,N/A
302,Syosset
302,WBE
302,11791
303,WBE
303,New York
303,10013
304,Bronx
304,10453
304,BLACK
304,WBE
304,MBE
305,10023
305,BLACK
305,New York
305,WBE
305,MBE
306,Jamaica
306,BLACK
306,11432
306,MBE
307,NON-MINORITY
307,WBE
307,New York
307,10013
308,10279
308,New York
308,ASIAN
308,MBE
309,Long Island City
309,11106
309,ASIAN
309,MBE
310,New York
310,10018
310,WBE
310,MBE
311,11385
311,Ridgewood
311,MBE
311,HISPANIC
312,10001
312,New York
312,ASIAN
312,MBE
313,10310
313,NON-MINORITY
313,WBE
313,Staten Island
314,LBE
314,Brooklyn
314,11238
314,ASIAN
314,MBE
315,NON-MINORITY
315,10002
315,WBE
315,New York
316,10004
316,NON-MINORITY
316,WBE
316,New York
317,10001
317,New York
317,BLACK
317,MBE
318,Elmont
318,BLACK
318,MBE
318,11003
319,10562
319,Ossining
319,BLACK
319,MBE
320,New York
320,10019
320,BLACK
320,MBE
321,11501
321,Mineola
321,ASIAN
321,MBE
322,NON-MINORITY
322,WBE
322,Valley Stream
322,11581
323,New York
323,BLACK
323,MBE
323,10035
324,Fort Salonga
324,NON-MINORITY
324,WBE
324,11768
325,11222
325,NON-MINORITY
325,WBE
325,Brooklyn
326,LBE
326,11040
326,New Hyde Park
326,ASIAN
326,MBE
327,7070
327,Rutherford
327,WBE
327,ASIAN
327,MBE
328,NON-MINORITY
328,WBE
328,Brooklyn
328,11209
329,11556
329,Uniondale
329,BLACK
329,MBE
330,LBE
330,Middle Village
330,11379
331,7310
331,Jersey City
331,WBE
331,ASIAN
331,MBE
332,10016
332,NON-MINORITY
332,WBE
332,New York
333,Rosedale
333,11422
333,BLACK
333,MBE
334,South Richmond Hill
334,11419
334,BLACK
334,MBE
335,NON-MINORITY
335,WBE
335,11224
335,Brooklyn
336,Brooklyn
336,BLACK
336,MBE
336,11236
337,St. Albans
337,BLACK
337,11412
337,MBE
338,New York
338,10030
338,BLACK
338,MBE
339,11206
339,Brooklyn
339,MBE
339,HISPANIC
340,7405
340,NON-MINORITY
340,WBE
340,Kinnelon
341,NON-MINORITY
341,7601
341,WBE
341,Hackensack
342,11729
342,BLACK
342,WBE
342,MBE
342,Deer Park
343,Bronx
343,NON-MINORITY
343,WBE
343,10454
344,NON-MINORITY
344,WBE
344,11201
344,Brooklyn
345,New York
345,10036
345,MBE
345,HISPANIC
346,Ozone Park
346,11417
346,ASIAN
346,MBE
347,10005
347,NON-MINORITY
347,WBE
347,New York
348,BLACK
348,Freehold
348,7728
348,WBE
348,MBE
349,NON-MINORITY
349,WBE
349,New York
349,10018
350,10001
350,NON-MINORITY
350,WBE
350,New York
351,Old Bethpage
351,NON-MINORITY
351,11804
351,WBE
352,10456
352,Bronx
352,BLACK
352,WBE
352,MBE
353,LBE
353,8857
353,Old Bridge
354,11361
354,ASIAN
354,MBE
354,Bayside
355,Flushing
355,11355
355,ASIAN
355,MBE
356,Manasquan
356,8736
356,NON-MINORITY
356,WBE
357,10001
357,New York
357,MBE
357,HISPANIC
358,LBE
358,Brooklyn
358,NON-MINORITY
358,11229
358,WBE
359,10465
359,Bronx
359,MBE
359,HISPANIC
360,11206
360,NON-MINORITY
360,WBE
360,Brooklyn
361,New York
361,BLACK
361,MBE
361,10035
